"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.500365709903296,,
"CPALTT01","Consumer prices: all items","ESP","Spain","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.202598000426412,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.179638494114647,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-0.0467847449832435,,
"CPALTT01","Consumer prices: all items","SWE","Sweden","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,0.984269244577973,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.0132025387516174,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-1.14390867228177,,
"CPALTT01","Consumer prices: all items","CHE","Switzerland","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-0.434618664285847,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.85457271364317,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,7.67085364845881,,
"CPALTT01","Consumer prices: all items","TUR","Turkey","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.77513415328332,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.42566191446028,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.401606425702812,,
"CPALTT01","Consumer prices: all items","GBR","United Kingdom","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,1.62222297740822,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.118627135552451,,
"CPALTT01","Consumer prices: all items","USA","United States","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.26158320570535,,
